participant_id,Cultural_Fam,Musicianship,age,nationality,ethnicity,rhythm_name,original_identifier,aligned_beat,trial_errors,trial_durations_sec,trial_adjustments,random_start_beats,initial_beat_offsets,corrected_aligned_beats,is_correct,trial_number_overall,repetition
RHYTHM_1757182376360_908sz,Indian,NICM_Musician,28,india,indian,Rupak,1,1,0,16.5,5,4,2,1,TRUE,1,1
RHYTHM_1757182376360_908sz,Indian,NICM_Musician,28,india,indian,Jhaptal,1,1,0,51.7,10,1,4,1,TRUE,2,1
RHYTHM_1757182376360_908sz,Indian,NICM_Musician,28,india,indian,Jhaptal,2,1,0,30.5,1,1,1,1,TRUE,3,2
RHYTHM_1757182376360_908sz,Indian,NICM_Musician,28,india,indian,Teental,1,1,0,27.6,7,4,15,1,TRUE,4,1
RHYTHM_1757182376360_908sz,Indian,NICM_Musician,28,india,indian,Rupak,2,1,0,9.3,1,4,6,1,TRUE,5,2
RHYTHM_1757182376360_908sz,Indian,NICM_Musician,28,india,indian,Keherva,1,1,0,22.2,2,2,2,1,TRUE,6,1
RHYTHM_1757182376360_908sz,Indian,NICM_Musician,28,india,indian,Keherva,2,1,0,13.5,4,7,4,1,TRUE,7,2
RHYTHM_1757182376360_908sz,Indian,NICM_Musician,28,india,indian,Teental,2,1,0,21.4,6,6,14,1,TRUE,8,2
RHYTHM_1757199232234_t6cp4,Non-Indian,Non-Musician,32,united kingdom,any other mixed or multiple ethnic background,Rupak,1,4,4,27.6,0,4,4,4,FALSE,1,1
RHYTHM_1757199232234_t6cp4,Non-Indian,Non-Musician,32,united kingdom,any other mixed or multiple ethnic background,Keherva,1,2,7,58.3,6,1,3,2,FALSE,2,1
RHYTHM_1757199232234_t6cp4,Non-Indian,Non-Musician,32,united kingdom,any other mixed or multiple ethnic background,Jhaptal,1,8,3,37.7,8,1,5,8,FALSE,3,1
RHYTHM_1757199232234_t6cp4,Non-Indian,Non-Musician,32,united kingdom,any other mixed or multiple ethnic background,Jhaptal,2,8,3,19.9,4,6,5,8,FALSE,4,2
RHYTHM_1757199232234_t6cp4,Non-Indian,Non-Musician,32,united kingdom,any other mixed or multiple ethnic background,Keherva,2,2,7,14.7,2,7,1,2,FALSE,5,2
RHYTHM_1757199232234_t6cp4,Non-Indian,Non-Musician,32,united kingdom,any other mixed or multiple ethnic background,Teental,1,5,12,21.2,1,8,11,5,FALSE,6,1
RHYTHM_1757199232234_t6cp4,Non-Indian,Non-Musician,32,united kingdom,any other mixed or multiple ethnic background,Teental,2,5,12,62.6,14,10,10,5,FALSE,7,2
RHYTHM_1757199232234_t6cp4,Non-Indian,Non-Musician,32,united kingdom,any other mixed or multiple ethnic background,Rupak,2,4,4,31,2,6,6,4,FALSE,8,2
RHYTHM_1757199926199_z7azk,Indian,NICM_Musician,29,india,indian,Rupak,1,1,0,16.2,1,2,1,1,TRUE,1,1
RHYTHM_1757199926199_z7azk,Indian,NICM_Musician,29,india,indian,Jhaptal,1,6,5,22.8,2,6,3,6,FALSE,2,1
RHYTHM_1757199926199_z7azk,Indian,NICM_Musician,29,india,indian,Keherva,1,1,0,15.2,2,6,2,1,TRUE,3,1
RHYTHM_1757199926199_z7azk,Indian,NICM_Musician,29,india,indian,Teental,1,1,0,16.3,3,8,3,1,TRUE,4,1
RHYTHM_1757199926199_z7azk,Indian,NICM_Musician,29,india,indian,Rupak,2,1,0,17.5,6,1,5,1,TRUE,5,2
RHYTHM_1757199926199_z7azk,Indian,NICM_Musician,29,india,indian,Jhaptal,2,1,0,32.7,4,9,8,1,TRUE,6,2
RHYTHM_1757199926199_z7azk,Indian,NICM_Musician,29,india,indian,Keherva,2,1,0,13,1,7,1,1,TRUE,7,2
RHYTHM_1757199926199_z7azk,Indian,NICM_Musician,29,india,indian,Teental,2,1,0,21.8,4,6,4,1,TRUE,8,2
RHYTHM_1757248042401_gb21j,Indian,NICM_Musician,28,india,indian,Keherva,1,1,0,27.2,5,4,3,1,TRUE,1,1
RHYTHM_1757248042401_gb21j,Indian,NICM_Musician,28,india,indian,Keherva,2,1,0,62.1,7,7,5,1,TRUE,2,2
RHYTHM_1757248042401_gb21j,Indian,NICM_Musician,28,india,indian,Rupak,1,1,0,31.7,6,3,5,1,TRUE,3,1
RHYTHM_1757248042401_gb21j,Indian,NICM_Musician,28,india,indian,Jhaptal,1,1,0,40.2,3,5,3,1,TRUE,4,1
RHYTHM_1757248042401_gb21j,Indian,NICM_Musician,28,india,indian,Teental,1,1,0,46.5,8,7,8,1,TRUE,5,1
RHYTHM_1757248042401_gb21j,Indian,NICM_Musician,28,india,indian,Jhaptal,2,1,0,79.3,7,3,5,1,TRUE,6,2
RHYTHM_1757248042401_gb21j,Indian,NICM_Musician,28,india,indian,Rupak,2,1,0,24.3,5,7,3,1,TRUE,7,2
RHYTHM_1757248042401_gb21j,Indian,NICM_Musician,28,india,indian,Teental,2,1,0,28.2,11,4,11,1,TRUE,8,2
RHYTHM_1757274947626_5ktqd,Indian,Non-Musician,25,united kingdom,indian,Keherva,1,6,3,18,8,6,3,6,FALSE,1,1
RHYTHM_1757274947626_5ktqd,Indian,Non-Musician,25,united kingdom,indian,Keherva,2,6,3,17.4,8,3,3,6,FALSE,2,2
RHYTHM_1757274947626_5ktqd,Indian,Non-Musician,25,united kingdom,indian,Teental,1,16,1,15.8,5,16,6,16,FALSE,3,1
RHYTHM_1757274947626_5ktqd,Indian,Non-Musician,25,united kingdom,indian,Teental,2,13,4,31.3,8,7,12,13,FALSE,4,2
RHYTHM_1757274947626_5ktqd,Indian,Non-Musician,25,united kingdom,indian,Rupak,1,6,2,14.8,7,5,2,6,FALSE,5,1
RHYTHM_1757274947626_5ktqd,Indian,Non-Musician,25,united kingdom,indian,Jhaptal,1,10,1,24.6,7,9,4,10,FALSE,6,1
RHYTHM_1757274947626_5ktqd,Indian,Non-Musician,25,united kingdom,indian,Rupak,2,2,6,29.9,10,6,1,2,FALSE,7,2
RHYTHM_1757274947626_5ktqd,Indian,Non-Musician,25,united kingdom,indian,Jhaptal,2,10,1,20.5,7,8,4,10,FALSE,8,2
RHYTHM_1757280448595_rhfbu,Indian,Non-Musician,24,india,indian,Rupak,1,4,4,46.3,4,1,1,4,FALSE,1,1
RHYTHM_1757280448595_rhfbu,Indian,Non-Musician,24,india,indian,Teental,1,2,15,74.1,20,3,15,2,FALSE,2,1
RHYTHM_1757280448595_rhfbu,Indian,Non-Musician,24,india,indian,Jhaptal,1,3,8,101.5,23,1,1,3,FALSE,3,1
RHYTHM_1757280448595_rhfbu,Indian,Non-Musician,24,india,indian,Keherva,1,2,7,30.9,0,5,7,2,FALSE,4,1
RHYTHM_1757280448595_rhfbu,Indian,Non-Musician,24,india,indian,Rupak,2,6,2,60.2,9,5,2,6,FALSE,5,2
RHYTHM_1757280448595_rhfbu,Indian,Non-Musician,24,india,indian,Keherva,2,2,7,29.9,3,7,4,2,FALSE,6,2
RHYTHM_1757280448595_rhfbu,Indian,Non-Musician,24,india,indian,Jhaptal,2,4,7,75.1,11,1,4,4,FALSE,7,2
RHYTHM_1757280448595_rhfbu,Indian,Non-Musician,24,india,indian,Teental,2,2,15,57.7,12,3,11,2,FALSE,8,2
RHYTHM_1757283409519_5sh2h,Indian,Non-Musician,23,india,indian,Teental,1,5,12,100.1,29,4,1,5,FALSE,1,1
RHYTHM_1757283409519_5sh2h,Indian,Non-Musician,23,india,indian,Rupak,1,4,4,21.8,3,6,1,4,FALSE,2,1
RHYTHM_1757283409519_5sh2h,Indian,Non-Musician,23,india,indian,Jhaptal,1,5,6,22,1,1,5,5,FALSE,3,1
RHYTHM_1757283409519_5sh2h,Indian,Non-Musician,23,india,indian,Keherva,1,1,0,37.6,7,8,5,1,TRUE,4,1
RHYTHM_1757283409519_5sh2h,Indian,Non-Musician,23,india,indian,Jhaptal,2,2,9,36.5,28,4,3,2,FALSE,5,2
RHYTHM_1757283409519_5sh2h,Indian,Non-Musician,23,india,indian,Teental,2,5,12,12.9,4,6,8,5,FALSE,6,2
RHYTHM_1757283409519_5sh2h,Indian,Non-Musician,23,india,indian,Keherva,2,5,4,22.8,3,8,1,5,FALSE,7,2
RHYTHM_1757283409519_5sh2h,Indian,Non-Musician,23,india,indian,Rupak,2,4,4,29.4,6,1,2,4,FALSE,8,2
RHYTHM_1757319515921_svd5d,Indian,NICM_Musician,44,india,indian,Jhaptal,1,1,0,70.8,6,8,4,1,TRUE,1,1
RHYTHM_1757319515921_svd5d,Indian,NICM_Musician,44,india,indian,Teental,1,1,0,106.1,9,16,9,1,TRUE,2,1
RHYTHM_1757319515921_svd5d,Indian,NICM_Musician,44,india,indian,Keherva,1,1,0,60.4,2,5,2,1,TRUE,3,1
RHYTHM_1757319515921_svd5d,Indian,NICM_Musician,44,india,indian,Rupak,1,1,0,19.3,2,2,5,1,TRUE,4,1
RHYTHM_1757319515921_svd5d,Indian,NICM_Musician,44,india,indian,Rupak,2,1,0,22.5,2,3,5,1,TRUE,5,2
RHYTHM_1757319515921_svd5d,Indian,NICM_Musician,44,india,indian,Teental,2,8,9,69.1,7,8,2,8,FALSE,6,2
RHYTHM_1757319515921_svd5d,Indian,NICM_Musician,44,india,indian,Jhaptal,2,1,0,59.9,2,9,8,1,TRUE,7,2
RHYTHM_1757319515921_svd5d,Indian,NICM_Musician,44,india,indian,Keherva,2,1,0,30.8,3,6,3,1,TRUE,8,2
RHYTHM_1757321261363_splj3,Indian,Non-Musician,27,india,indian,Rupak,1,4,4,33.1,2,7,4,4,FALSE,1,1
RHYTHM_1757321261363_splj3,Indian,Non-Musician,27,india,indian,Teental,1,16,1,86.1,29,8,14,16,FALSE,2,1
RHYTHM_1757321261363_splj3,Indian,Non-Musician,27,india,indian,Teental,2,16,1,48.6,20,8,15,16,FALSE,3,2
RHYTHM_1757321261363_splj3,Indian,Non-Musician,27,india,indian,Jhaptal,1,5,6,68.2,17,6,5,5,FALSE,4,1
RHYTHM_1757321261363_splj3,Indian,Non-Musician,27,india,indian,Keherva,1,6,3,14.7,3,5,2,6,FALSE,5,1
RHYTHM_1757321261363_splj3,Indian,Non-Musician,27,india,indian,Keherva,2,6,3,74.8,15,1,2,6,FALSE,6,2
RHYTHM_1757321261363_splj3,Indian,Non-Musician,27,india,indian,Rupak,2,3,5,45.2,7,3,4,3,FALSE,7,2
RHYTHM_1757321261363_splj3,Indian,Non-Musician,27,india,indian,Jhaptal,2,1,0,5.7,1,10,9,1,TRUE,8,2
RHYTHM_1757322168812_mx059,Indian,NICM_Musician,24,india,indian,Keherva,1,1,0,69.4,10,6,6,1,TRUE,1,1
RHYTHM_1757322168812_mx059,Indian,NICM_Musician,24,india,indian,Keherva,2,1,0,31.6,5,4,3,1,TRUE,2,2
RHYTHM_1757322168812_mx059,Indian,NICM_Musician,24,india,indian,Jhaptal,1,6,5,12.6,0,7,5,6,FALSE,3,1
RHYTHM_1757322168812_mx059,Indian,NICM_Musician,24,india,indian,Jhaptal,2,1,0,91.2,29,8,9,1,TRUE,4,2
RHYTHM_1757322168812_mx059,Indian,NICM_Musician,24,india,indian,Rupak,1,1,0,47.4,12,2,6,1,TRUE,5,1
RHYTHM_1757322168812_mx059,Indian,NICM_Musician,24,india,indian,Teental,1,1,0,100.9,9,8,5,1,TRUE,6,1
RHYTHM_1757322168812_mx059,Indian,NICM_Musician,24,india,indian,Teental,2,14,3,10.6,1,12,2,14,FALSE,7,2
RHYTHM_1757322168812_mx059,Indian,NICM_Musician,24,india,indian,Rupak,2,1,0,12.6,3,1,1,1,TRUE,8,2
RHYTHM_1757319962058_e045x,Indian,NICM_Musician,27,india,indian,Jhaptal,1,3,8,52.4,8,5,6,3,FALSE,1,1
RHYTHM_1757319962058_e045x,Indian,NICM_Musician,27,india,indian,Jhaptal,2,8,3,50,4,9,7,8,FALSE,2,2
RHYTHM_1757319962058_e045x,Indian,NICM_Musician,27,india,indian,Keherva,1,4,5,89.1,2,5,7,4,FALSE,3,1
RHYTHM_1757319962058_e045x,Indian,NICM_Musician,27,india,indian,Keherva,2,5,4,14.7,1,5,3,5,FALSE,4,2
RHYTHM_1757319962058_e045x,Indian,NICM_Musician,27,india,indian,Teental,1,1,0,47.3,4,14,12,1,TRUE,5,1
RHYTHM_1757319962058_e045x,Indian,NICM_Musician,27,india,indian,Rupak,1,1,0,35.7,3,6,3,1,TRUE,6,1
RHYTHM_1757319962058_e045x,Indian,NICM_Musician,27,india,indian,Teental,2,1,0,43.2,6,8,6,1,TRUE,7,2
RHYTHM_1757319962058_e045x,Indian,NICM_Musician,27,india,indian,Rupak,2,1,0,4215,3,1,6,1,TRUE,8,2
RHYTHM_1757327372792_5akp1,Indian,NICM_Musician,31,india,indian,Jhaptal,1,6,5,23.4,1,5,4,6,FALSE,1,1
RHYTHM_1757327372792_5akp1,Indian,NICM_Musician,31,india,indian,Jhaptal,2,1,0,50,4,6,8,1,TRUE,2,2
RHYTHM_1757327372792_5akp1,Indian,NICM_Musician,31,india,indian,Teental,1,1,0,33.7,6,4,10,1,TRUE,3,1
RHYTHM_1757327372792_5akp1,Indian,NICM_Musician,31,india,indian,Teental,2,1,0,19.9,3,6,3,1,TRUE,4,2
RHYTHM_1757327372792_5akp1,Indian,NICM_Musician,31,india,indian,Rupak,1,1,0,32.8,3,4,3,1,TRUE,5,1
RHYTHM_1757327372792_5akp1,Indian,NICM_Musician,31,india,indian,Keherva,1,1,0,109,7,5,7,1,TRUE,6,1
RHYTHM_1757327372792_5akp1,Indian,NICM_Musician,31,india,indian,Rupak,2,1,0,29.4,4,7,4,1,TRUE,7,2
RHYTHM_1757327372792_5akp1,Indian,NICM_Musician,31,india,indian,Keherva,2,1,0,30.4,2,6,6,1,TRUE,8,2
RHYTHM_1757339937373_5vyqk,Indian,NICM_Musician,27,india,indian,Teental,1,8,9,35.5,3,7,10,8,FALSE,1,1
RHYTHM_1757339937373_5vyqk,Indian,NICM_Musician,27,india,indian,Rupak,1,6,2,105,2,6,4,6,FALSE,2,1
RHYTHM_1757339937373_5vyqk,Indian,NICM_Musician,27,india,indian,Jhaptal,1,1,0,94.1,15,9,1,1,TRUE,3,1
RHYTHM_1757339937373_5vyqk,Indian,NICM_Musician,27,india,indian,Rupak,2,4,4,79.4,1,2,5,4,FALSE,4,2
RHYTHM_1757339937373_5vyqk,Indian,NICM_Musician,27,india,indian,Teental,2,8,9,133.4,9,12,2,8,FALSE,5,2
RHYTHM_1757339937373_5vyqk,Indian,NICM_Musician,27,india,indian,Keherva,1,1,0,119.2,11,5,3,1,TRUE,6,1
RHYTHM_1757339937373_5vyqk,Indian,NICM_Musician,27,india,indian,Keherva,2,1,0,30.3,9,6,1,1,TRUE,7,2
RHYTHM_1757339937373_5vyqk,Indian,NICM_Musician,27,india,indian,Jhaptal,2,8,3,59.5,14,9,7,8,FALSE,8,2
RHYTHM_1757350932948_on5ti,Indian,NICM_Musician,17,india,indian,Keherva,1,2,7,21.3,0,6,7,2,FALSE,1,1
RHYTHM_1757350932948_on5ti,Indian,NICM_Musician,17,india,indian,Rupak,1,4,4,24.4,1,3,3,4,FALSE,2,1
RHYTHM_1757350932948_on5ti,Indian,NICM_Musician,17,india,indian,Jhaptal,1,1,0,26.9,1,9,9,1,TRUE,3,1
RHYTHM_1757350932948_on5ti,Indian,NICM_Musician,17,india,indian,Jhaptal,2,8,3,54,1,9,4,8,FALSE,4,2
RHYTHM_1757350932948_on5ti,Indian,NICM_Musician,17,india,indian,Rupak,2,4,4,104.4,0,3,4,4,FALSE,5,2
RHYTHM_1757350932948_on5ti,Indian,NICM_Musician,17,india,indian,Keherva,2,7,2,142.6,3,2,5,7,FALSE,6,2
RHYTHM_1757350932948_on5ti,Indian,NICM_Musician,17,india,indian,Teental,1,15,2,94.6,11,15,5,15,FALSE,7,1
RHYTHM_1757350932948_on5ti,Indian,NICM_Musician,17,india,indian,Teental,2,6,11,10.9,6,16,1,6,FALSE,8,2
RHYTHM_1757350932948_on5ti,Indian,NICM_Musician,17,india,indian,Teental,3,6,11,12.2,6,16,1,6,FALSE,9,3
RHYTHM_1757353385889_vgx9o,Indian,Non-Musician,27,india,indian,Teental,1,13,4,90,19,1,7,13,FALSE,1,1
RHYTHM_1757353385889_vgx9o,Indian,Non-Musician,27,india,indian,Teental,2,13,4,90.7,19,1,7,13,FALSE,2,2
RHYTHM_1757353385889_vgx9o,Indian,Non-Musician,27,india,indian,Teental,3,13,4,90.9,19,1,7,13,FALSE,3,3
RHYTHM_1757353385889_vgx9o,Indian,Non-Musician,27,india,indian,Teental,4,13,4,91.1,19,1,7,13,FALSE,4,4
RHYTHM_1757353385889_vgx9o,Indian,Non-Musician,27,india,indian,Teental,5,13,4,91.3,19,1,7,13,FALSE,5,5
RHYTHM_1757353385889_vgx9o,Indian,Non-Musician,27,india,indian,Teental,6,13,4,91.5,19,1,7,13,FALSE,6,6
RHYTHM_1757353385889_vgx9o,Indian,Non-Musician,27,india,indian,Keherva,1,5,4,77,5,1,1,5,FALSE,7,1
RHYTHM_1757353385889_vgx9o,Indian,Non-Musician,27,india,indian,Keherva,2,8,1,429.1,14,1,3,8,FALSE,8,2
